gRNA,loss
CROPseq_dCas9_DS_OXR1_+_107670422.23,29939.236328125
CROPseq_dCas9_DS_OXR1_-_107670413.23,26610.599609375
CROPseq_dCas9_DS_PHF20L1_+_133787682-P1P2,26857.3828125
CROPseq_dCas9_DS_PHF20L1_+_133788017-P1P2,25470.88671875
CROPseq_dCas9_DS_PHF20L1_+_133788065-P1P2,7889.68994140625
CROPseq_dCas9_DS_PHF20L1_-_133787636-P1P2,49769.41015625
CROPseq_dCas9_DS_RIPK2_+_90770127.23-P1P2,19188.365234375
CROPseq_dCas9_DS_RIPK2_+_90770318.23-P1P2,20570.8671875
CROPseq_dCas9_DS_RIPK2_-_90770297.23-P1P2,29457.197265625
CROPseq_dCas9_DS_RIPK2_-_90770465.23-P1P2,24871.017578125
CROPseq_dCas9_DS_STK3_+_99837558.23-P1P2,10611.6533203125
CROPseq_dCas9_DS_STK3_+_99837574.23-P1P2,30669.212890625
CROPseq_dCas9_DS_STK3_+_99837894.23-P1P2,18626.33984375
CROPseq_dCas9_DS_STK3_-_99837866.23-P1P2,1298.682861328125
CROPseq_dCas9_DS_UBR5_+_103424908.23-P1P2,25640.51953125
CROPseq_dCas9_DS_UBR5_+_103424940.23-P1P2,17852.615234375
CROPseq_dCas9_DS_UBR5_-_103424644.23-P1P2,15266.0693359375
CROPseq_dCas9_DS_UBR5_-_103424857.23-P1P2,8009.09326171875
CROPseq_dCas9_DS_ZFPM2-A,13326.1123046875
CROPseq_dCas9_DS_ZFPM2-B,5005.9814453125
CROPseq_dCas9_DS_ZFPM2-C,7003.17138671875
CROPseq_dCas9_DS_ZFPM2-D,5007.720703125
CROPseq_dCas9_DS_non-targeting_00000,23899.23046875
CROPseq_dCas9_DS_non-targeting_00001,23838.58203125
CROPseq_dCas9_DS_non-targeting_00002,28927.390625
CROPseq_dCas9_DS_non-targeting_00003,28516.509765625
CROPseq_dCas9_DS_non-targeting_00004,27937.330078125
CROPseq_dCas9_DS_non-targeting_00005,17503.2734375
CROPseq_dCas9_DS_non-targeting_00006,20853.638671875
CROPseq_dCas9_DS_non-targeting_00007,25069.734375
CROPseq_dCas9_DS_non-targeting_00008,20091.361328125
CROPseq_dCas9_DS_non-targeting_00009,23853.927734375
CROPseq_dCas9_DS_non-targeting_00010,20134.75
CROPseq_dCas9_DS_non-targeting_00011,25856.255859375
CROPseq_dCas9_DS_non-targeting_00012,34721.875
CROPseq_dCas9_DS_non-targeting_00013,20070.826171875
CROPseq_dCas9_DS_non-targeting_00014,21041.224609375
CROPseq_dCas9_DS_non-targeting_00015,22916.361328125
CROPseq_dCas9_DS_non-targeting_00016,28133.791015625
CROPseq_dCas9_DS_non-targeting_00017,22107.341796875
CROPseq_dCas9_DS_non-targeting_00018,44986.28515625
CROPseq_dCas9_DS_non-targeting_00019,18793.13671875
CROPseq_dCas9_DS_non-targeting_00020,22901.818359375
CROPseq_dCas9_DS_non-targeting_00021,48118.07421875
CROPseq_dCas9_DS_non-targeting_00022,32581.90625
CROPseq_dCas9_DS_non-targeting_00023,22191.591796875
CROPseq_dCas9_DS_non-targeting_00024,14435.455078125
CROPseq_dCas9_DS_non-targeting_00025,57359.109375
CROPseq_dCas9_DS_non-targeting_00026,18646.658203125
CROPseq_dCas9_DS_non-targeting_00027,27740.576171875
CROPseq_dCas9_DS_non-targeting_00028,46686.99609375
CROPseq_dCas9_DS_non-targeting_00029,36606.2109375
